ds,orig,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,IMF14,res
2017-01-01 00:00:00,0.0,-4.887358194237405e-05,2.8501280360014583e-05,3.753064174151576e-05,-3.323084371713983e-05,-1.9258079784560385e-05,1.0400037601913946e-06,-7.583183386834384e-05,0.00021216709103211704,-0.00022584111253540104,-0.0002055363768422521,-0.002688636722333374,-0.011153261604004965,0.004291975946667415,0.009879255191467156,1.734723475976807e-18
2017-01-01 03:00:00,0.0,4.322384813071744e-05,-5.43737912035563e-05,3.4285222652892794e-05,-3.6918136010157165e-05,-1.7093965933842054e-05,2.4655023117705314e-06,-8.987197978459075e-05,0.00022033806634575253,-0.00022678665259628927,-0.00019250077196943772,-0.002690993043997125,-0.01116410947822739,0.004293603073406438,0.009878732106874816,0.0
2017-01-01 06:00:00,0.0,-3.0434224182419834e-05,4.6320146269854814e-05,9.177314678025728e-06,-3.7000443351402674e-05,-1.4748539460806861e-05,5.25831902962479e-06,-0.00010392084494307138,0.00022697116184014973,-0.00022729759668481926,-0.00017946683679603958,-0.0026933749081090646,-0.011174919044008183,0.0042952269699074435,0.009878208525810707,1.734723475976807e-18
2017-01-01 09:00:00,0.0,4.81060987576908e-05,-3.869595869637213e-06,-2.2187838223625045e-05,-3.347051999735792e-05,-1.0985204321592994e-05,8.944831173740831e-06,-0.00011776075702387646,0.00023196262174596482,-0.000227364370410272,-0.00016643479150018026,-0.002695782318547941,-0.011185690238414614,0.004296847634167274,0.009877684448464426,0.0
2017-01-01 12:00:00,0.0,-4.4372875077289596e-05,9.032863312728387e-05,-3.2905070895363206e-05,-2.650363724689535e-05,-4.324010220207739e-06,1.3045478842482719e-05,-0.0001310816146838359,0.00023520869029385492,-0.0002269767661777328,-0.0001534054894641725,-0.0026982152791925162,-0.011196422998514035,0.004298465064182632,0.009877159875025793,1.734723475976807e-18
2017-01-01 15:00:00,0.0,2.4778785809469512e-05,-9.967257612738883e-06,-1.748268368079239e-05,-1.6187970146788875e-05,5.983846441789966e-06,1.7340310948861623e-05,-0.00014348929135117003,0.00023660561171447693,-0.00022612447085969595,-0.0001403798896029252,-0.002700673793921534,-0.011207117261373726,0.0043000792579503625,0.00987663480568441,0.0
2017-01-01 18:00:00,0.0,-2.8305597701820042e-05,3.5658518915924294e-06,3.633549116875386e-06,-3.711940888454043e-06,1.7709129376042912e-05,2.0861875619769873e-05,-0.000154514998914968,0.00023604737172747454,-0.00022479493532666424,-0.00012735892832232247,-0.002703157866613756,-0.011217772964060974,0.00430169021346716,0.009876109240630045,0.0
2017-01-01 21:00:00,0.0,2.6320270064616048e-05,-8.730995117922501e-05,2.6325780983045147e-05,8.588710946893063e-06,2.6720808241260806e-05,2.2053820994568706e-05,-0.00016363180761743288,0.00023342188337171469,-0.00022296953776836415,-0.00011434354202824871,-0.002705667501147928,-0.011228390043643175,0.00430329792872996,0.009875583180052315,0.0
2017-01-02 00:00:00,0.0,-8.956990031166046e-05,2.9061047997852493e-05,2.4221412868684584e-05,1.8655825582749276e-05,2.9191151014744836e-05,1.932969335335577e-05,-0.0001703298539767056,0.0002286298914288333,-0.00022064248811729035,-0.0001013346671265888,-0.002708202701402809,-0.011238968437187555,0.004304902401735396,0.009875056624140992,1.734723475976807e-18
2017-01-02 03:00:00,0.0,2.933900338593947e-05,-5.995177027496649e-05,6.210229782515784e-06,2.648619742771572e-05,2.3953070417731354e-05,1.1954858320031505e-05,-0.0001741841439577161,0.00022158808124651304,-0.00021782393687198436,-8.833324002322883e-05,-0.0027107634712571515,-0.011249508081761459,0.004306503630480405,0.009874529573085655,0.0
2017-01-02 06:00:00,0.0,8.96006945172134e-06,-6.938145799326837e-06,-5.765253838443485e-06,3.170490447070165e-05,1.3430406952584946e-05,2.294061884455033e-06,-0.000174780373409918,0.0002122168957281002,-0.00021452727933168083,-7.534019712405531e-05,-0.0027133498145897068,-0.011260008914432183,0.004308101612961626,0.009874002027076124,0.0
2017-01-02 09:00:00,0.0,-1.2469960223160632e-05,3.0208500723477007e-05,-3.309951068224665e-07,3.5479526440660125e-05,1.3382960446176772e-06,-6.576064684267982e-06,-0.00017172119813585777,0.00020045655464024102,-0.0002107659107956115,-6.235647483495281e-05,-0.002715961735279226,-0.011270470872267076,0.004309696347175921,0.009873473986302058,0.0
2017-01-02 12:00:00,0.0,-5.814546554007934e-06,2.923404804545086e-05,9.349263246335103e-06,3.709670961214734e-05,-8.648166264709661e-06,-1.1658493416653553e-05,-0.00016470328228714265,0.00018634055120808515,-0.00020655322656301146,-4.9383009561805765e-05,-0.0027185992372044643,-0.011280893892333367,0.00431128783112006,0.009872945450953083,0.0
2017-01-02 15:00:00,0.0,-4.3114738590396784e-05,6.889029704366373e-05,1.4342947069678223e-05,3.417270001855481e-05,-1.4892024654007354e-05,-1.0295074568413287e-05,-0.0001535581401121092,0.00017002514536945988,-0.0002019026219331141,-3.6420737710497805e-05,-0.002721262324244179,-0.011291277911698455,0.004312876062790821,0.009872416421218994,1.734723475976807e-18
2017-01-02 18:00:00,0.0,5.595961886797412e-05,-2.474606943685886e-05,8.51402726976026e-06,2.4840112166905283e-05,-1.7394997150834566e-05,-1.0778795662902111e-06,-0.00013832995158353392,0.00015175915755724455,-0.00019682749220515394,-2.347059568691761e-05,-0.002723951000277121,-0.011301622867429612,0.004314461040185046,0.009871886897289392,0.0
2017-01-02 21:00:00,0.0,-4.63298864072642e-05,9.703851136979475e-05,-1.7292477070736228e-05,9.599091675810783e-06,-1.690471982792108e-05,1.4577564326181664e-05,-0.00011942905398532179,0.00013181004761747428,-0.00019134123267836495,-1.0533519896948657e-05,-0.002726665269182037,-0.011311928696594154,0.004316042761299424,0.009871356879354065,-1.734723475976807e-18
2017-01-03 00:00:00,0.0,1.1419785595725584e-06,5.0421793863761184e-05,-2.9230674178330464e-05,-8.63871695035209e-06,-1.3254419622594422e-05,3.27126828260309e-05,-9.73776120980113e-05,0.00011044553236200874,-0.00018545723865197902,2.3895532535246333e-06,-0.002729405134837691,-0.011322195336259368,0.004317621224130843,0.009870826367602586,-1.734723475976807e-18
